,Channel1,Channel2,Channel3,Channel4
500,0,0.16,-0.16,-0.32
501,4.24,0.16,-0.08,-0.24
502,0,0.16,-0.16,-0.32
503,4.32,0.16,-0.08,-0.16
504,-1.52,0.16,-0.16,-0.4
505,0.08,0.16,-0.08,-0.24
506,0,0.16,-0.16,-0.32
507,0.08,0.16,-0.08,-0.24
508,0,0.16,-0.16,-0.32
509,0.08,0.16,-0.08,-0.24
510,0,0.16,-0.16,-0.32
511,0.08,0.16,-0.08,4
512,-0.08,0.16,-0.16,-1.84
513,0.08,0.16,-0.08,-0.24
514,0,0.16,-0.16,-0.32
515,0.08,0.16,-0.08,-0.24
516,0,0.08,-0.16,-0.32
517,0.08,0.16,-0.08,-0.24
518,0,0.16,-0.16,-0.32
519,4.32,0.16,-0.08,-0.16
520,-1.52,0.16,-0.16,-0.4
521,0.08,0.16,-0.08,-0.24
522,0,0.16,-0.16,-0.32
523,0.08,0.16,-0.08,-0.24
524,0,0.16,-0.16,-0.32
525,0.08,0.16,-0.08,-0.24
526,0,0.16,-0.16,-0.32
527,0.08,0.16,-0.08,-0.24
528,0,0.16,-0.16,-0.32
529,0.08,0.16,-0.08,-0.24
530,0,0.16,-0.16,-0.32
531,0.16,0.16,-0.08,4
532,-0.08,0.16,-0.16,-1.84
533,0.08,0.16,-0.08,-0.24
534,0,0.16,-0.16,-0.32
535,4.32,0.16,-0.08,-0.16
536,-1.52,0.16,-0.16,-0.4
537,0.08,0.16,-0.08,-0.24
538,0,0.16,-0.16,-0.32
539,0.08,0.16,-0.08,-0.24
540,0,0.08,-0.16,-0.32
541,0.08,0.16,-0.08,-0.24
542,0,0.16,-0.16,-0.32
543,0.08,0.16,-0.08,-0.24
544,0,0.16,-0.16,-0.32
545,0.08,0.16,-0.08,-0.24
546,0,0.16,-0.16,-0.32
547,0.08,0.16,-0.08,-0.24
548,0,0.16,-0.16,-0.32
549,0.08,0.16,-0.08,-0.24
550,0,0.16,-0.16,-0.32
551,0.16,0.16,-0.08,4
552,-0.08,0.16,-0.16,-1.84
553,4.32,0.16,-0.08,-0.16
554,-1.52,0.16,-0.16,-0.4
555,0.08,0.16,-0.08,-0.24
556,0,0.16,-0.16,-0.32
557,0.08,0.16,-0.08,-0.24
558,0,0.16,-0.16,-0.32
559,0.08,0.16,-0.08,-0.24
560,0,0.16,-0.16,-0.32
561,0.08,0.16,-0.08,-0.24
562,0,0.16,-0.16,-0.32
563,0.08,0.16,-0.08,-0.24
564,0,0.16,-0.16,-0.32
565,0.08,0.16,-0.08,-0.24
566,0,0.16,-0.16,-0.32
567,0.08,0.16,-0.08,-0.24
568,0,0.16,-0.16,-0.32
569,4.32,0.16,-0.08,-0.16
570,-1.52,0.16,-0.16,-0.4
571,0.08,0.16,-0.08,4
572,-0.08,0.16,-0.16,-1.84
573,0.08,0.16,-0.08,-0.24
